Key Symbol	Keyway	Key Qty	Door #	Discription	Log QTY.	notes	Keys in inventory	Keys issued	Keys lost
DAB1				Drama 	Unknown Qty* 	Unknown Qty* 			
XDAB1A				Practice Rooms	Unknown Qty* 	Unknown Qty* 			
DAB2				Data rooms	19	Unknown Qty* 			
DAB4				Asst Principal 1	Unknown Qty* 	Unknown Qty* 			
DAB5				Asst Principal 2	Unknown Qty* 	Unknown Qty* 			
DAB6				Asst Principal 3	14	Unknown Qty* 			
DAB7				Support 1	Unknown Qty* 	Unknown Qty* 			
DAB8				Support 2	Unknown Qty* 	Unknown Qty* 			
DAB9				Support 3	8	Unknown Qty* 			
DAB10				Support 4	Unknown Qty* 	Unknown Qty* 			
DAB11				Support 5	Unknown Qty* 	Unknown Qty* 			
DAB12				Support 6	Unknown Qty* 	Unknown Qty* 			
DAB13				Registrar	13	Unknown Qty* 			
DAB14				Health	Unknown Qty* 	Unknown Qty* 			
DAB15				Concessions in gym  ( closet in concession d-123 das )	Unknown Qty* 	Unknown Qty* 			
DAB16				Student Store 	22	Unknown Qty* 			
						Unknown Qty* 			
DABA				B Wing and Counselors office	5	Unknown Qty* 			
XDABA1				Classrooms operated by DABA2,DABA3,DABA4,DABA5	101	Unknown Qty* 			
DABA2				Science	21	Unknown Qty* 			
DABA3				Arts/Crafts	30	Unknown Qty* 			
DABA4				Preschool	5	Unknown Qty* 			
DABA5				MRDD 	22	Unknown Qty* 			
						Unknown Qty* 			
DABB				E Wing and Counselors office	22	Unknown Qty* 			
XDABB1				Classrooms operated by DABB1, DABB2, DABB3,DABB4,DABB5	74	Unknown Qty* 			
DABB2				Science Class	59	Unknown Qty* 			
DABB3				Network classroom and AG (agriculture) building interior classroom doors + gate to ah building from main building.	12	Unknown Qty* 			
DABB4				Communications	Unknown Qty* 	Unknown Qty* 			
DABB5				SED office	28	Unknown Qty* 			
DABB6				Culinary classroom and storage		Unknown Qty* 			
						Unknown Qty* 			
DABC				Library Master	13	Unknown Qty* 			
DABC1				Library sub does not open office	28	Unknown Qty* 			
						Unknown Qty* 			
DAAB				Athletic Gate Padlock Master	18	Unknown Qty* 			
						Unknown Qty* 			
						Unknown Qty* 			
						Unknown Qty* 			
DAC				Consseions Master	Unknown Qty* 	Unknown Qty* 			
DAC1				Door 006 and 007 	Unknown Qty* 	Unknown Qty* 			
DAC2				Interior Concessions	Unknown Qty* 	Unknown Qty* 			
DAC3				Field House Exterior to Concessions and Storage  EXTERIOR CHANGED TO DAA15 9/11/13	Unknown Qty* 	Unknown Qty* 			
SKD11				SAFE  ( THIS DOOR WILL NOT OPEN WITH MASTER	110	Unknown Qty* 100-110			
SKD25B				PUMP HOUSE / NEAREST GATE	Unknown Qty* 	Unknown Qty* 			
SKD21B				PEMP HOUSE@ BOILER ROOM FOR PST	Unknown Qty* 	Unknown Qty* 			
XXXXXXXXX E222222				HEAD CUSTODIAN HAS 40 IC CORE PAINTED GREEN FOR GYM LOCK OUT WHEN WAXING IN SUMMER		Unknown Qty* 			
				INCLUDESE E222222  CINTROL KEY		Unknown Qty* 			
				pump house gate jacobson st. daxxx 852xxx 2/17/17		Unknown Qty* 			
DCC27(D124 keyway)				Liberty Main Gym sound booth.	18	Unknown Qty* 			
614P					Unknown Qty* 				
					Unknown Qty* 				
